Departement,Espece,Lib_zone,Zone,Groupe
22,Coques et Palourdes,Plougrescant/Pleubian – Pleubian/Lanmodez,22.07.12,2
22,Coques et Palourdes,Plougrescant/Pleubian – Pleubian/Lanmodez,22.06.20,2
22,Coques et Palourdes,Baie de Binic,22.03.40,2
22,Coques et Palourdes,Baie de Saint Brieuc,22.03.22,2
22,Coques et Palourdes,Baie de Saint Brieuc,22.03.23,2
22,Coques et Palourdes,Baie de Fresnaie ,22.02.10 ,2
22,Coques et Palourdes,Baie de l’Arguenon ,22.01.20 ,2
22,Coques et Palourdes,Baie de Lancieux ,22.01.10 ,2
22,Coques et Palourdes,La Ville Ger en Rance,2235.00.01,2
35,Coques et Palourdes,Ille & Vilaine,3522.02,2
35,Coques et Palourdes,Ille & Vilaine,3522.03,2
35,Coques et Palourdes,Ille & Vilaine,3522.05,2
35,Coques et Palourdes,Ille & Vilaine,3522.04,2
29,Huîtres,Rade de Brest,29.04.020,3
29,Huîtres,Rade de Brest,29.04.030,3
29,Huîtres,Rade de Brest,29.04.041,3
29,Huîtres,Rade de Brest,29.04.042,3
29,Huîtres,Rade de Brest,29.04.060,3
29,Huîtres,Rade de Brest,29.04.070,3
29,Huîtres,Rade de Brest,29.04.080,3
29,Huîtres,Rade de Brest, 29.04.090,3
29,Huîtres,Rade de Brest,29.04.100,3
29,Huîtres,Rade de Brest,29.04.111,3
29,Huîtres,Rade de Brest,29.04.112,3
29,Huîtres,Rade de Brest,29.04.130,3
29,Huîtres,Rade de Brest,29.04.150,3
22,Huîtres creuses,« Gisement de Pordic »,22.03.30,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.30,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.22,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.21,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.03.10,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.02.30,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.02.20,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.02.10,3
22,Moules,Gisements classés du QM de Saint Brieuc,22.01.20,3
35,Moules,Banc des Hermelles,35.14,3
35,Moules,Banc des Hermelles,35.16,3
56,Oursins,Secteur de Lorient,56.03.1,1
56,Oursins,Secteur de Lorient,56.04.1,1
56,Oursins,Secteur de Lorient,56.04.3,1
56,Oursins,Secteur de Lorient,56.04.2,1
56,Oursins,Secteur de Lorient,56.04.4,1
56,Oursins,Secteur de Lorient,56.04.5,1
56,Oursins,Secteur de Lorient,56.05.1,1
56,Oursins,Secteur de Lorient,56.05.2,1
56,Oursins,Secteur de Lorient,56.05.3,1
56,Oursins,Secteur de Lorient,56.05.4,1
56,Oursins,Secteur de Lorient,56.05.5,1
56,Oursins,Secteur de Lorient,56.05.6,1
56,Oursins,Secteur de Lorient,56.06.1,1
29,Tellines,Baie d'Audierne,29.06.020,2
29,Tellines,Baie de Douarnenez,29.05.030,2
29,Tellines,Baie de Douarnenez,29.05.040,2
29,Tellines,Blancs Sablons,29.03.020,2
56,Tellines,Littoral du Morbihan,,2
56,Animaux vermiformes,Littoral du Morbihan,,-
56,Crustacés (sauf anatifes),Littoral du Morbihan,,-
56,Poissons,Littoral du Morbihan,,-
56,Pouces-pieds,Littoral du Morbihan,,-
56,Moules,Littoral du Morbihan,,3
56,Huîtres creuses,Littoral du Morbihan,,3
56,"Coquillages autres que coques, palourdes, tellines, moules et huîtres creuses",Littoral du Morbihan,,1
56,"Coquillages autres que coques, palourdes, tellines, moules et huîtres creuses",Littoral du Morbihan,,2
56,"Coquillages autres que coques, palourdes, tellines, moules et huîtres creuses",Littoral du Morbihan,,3
56,Coques et Palourdes,Littoral du Morbihan,,2
56,Oursins,Littoral du Morbihan,,1
29,"Timbres ""coquillages"" (à l'exception des espèces déjà soumises à un timbre)",Littoral du Finistère,,1
29,"Timbres ""coquillages"" (à l'exception des espèces déjà soumises à un timbre)",Littoral du Finistère,,2
29,"Timbres ""coquillages"" (à l'exception des espèces déjà soumises à un timbre)",Littoral du Finistère,,3
29,Animaux vermiformes,Littoral du Finistère,,-
29,Crustacés (sauf anatifes),Littoral du Finistère,,-
29,Oursins,Littoral du Finistère (à l'exception des secteurs d'Audierne et de Douarnenez),,1
29,Poissons,Secteur du Guilvinec,,-
29,Poissons,Secteur du Guilvinec,,-
29,Oursins,Secteur d'Audierne,29.06.020,1
29,Crustacés (pouce pied),Secteur d'Audierne,29.06.020,-
29,Oursins,Secteur de Douarnenez,29.05.040,1
29,Oursins,Secteur de Douarnenez,29.05.030,1
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
29,Poissons,Secteur Nord Finistère,,-
22,Animaux vermiformes,Littoral des côtes d'Armor,,-
22,Crustacés,Littoral des côtes d'Armor,,-
22,Poissons,Littoral des côtes d'Armor,,-
22,"Timbres ""coquillages"" (à l'exception des espèces déjà soumises à un timbre)",Littoral des côtes d'Armor,,1
22,"Timbres ""coquillages"" (à l'exception des espèces déjà soumises à un timbre)",Littoral des côtes d'Armor,,2
22,"Timbres ""coquillages"" (à l'exception des espèces déjà soumises à un timbre)",Littoral des côtes d'Armor,,3
35,Animaux vermiformes,Littoral d'Ille & Vilaine,,-
35,Crustacés,Littoral d'Ille & Vilaine,,-
35,Poissons,Littoral d'Ille & Vilaine,,-
